Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Sugars (g),Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
UHT Milk,MILK AND MILK PRODUCTS,Milks,Cup (250g),Drink,,Drinks,Milk,16,11.25,9.25,8.75,0,0.18,11.25,160.88,107.5,61.87692308,50.8765812,48.12649573,160.88
Malted Milk drink,MILK AND MILK PRODUCTS,Milks,Cup (400g),Drink,,Drinks,Milk,16,18.8,31.2,8,#N/A,#N/A,18.8,389.1,324,126.122069,209.3089655,53.66896552,389.1
Milo drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (250g),Drink,,Drinks,Hot Drinks,1,18.98,3.25,3.75,0.93,0.03,16,120.18,51.05,87.79893764,15.03406467,17.34699769,120.18
"Milo drink, less sweet","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (250g),Drink,,Drinks,Hot Drinks,1,15,3.5,2.75,2,#N/A,12.25,92.5,28.75,65.29411765,15.23529412,11.97058824,92.5
"Milo, ready-to-drink",BEVERAGES,Non-alcoholic beverages,Packet (250g),Drink,,Drinks,Hot Drinks,1,23.75,3.75,4.25,1.25,0,20,150,75,112.2047244,17.71653543,20.07874016,150
Minced pork porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (524g),Main,,Meat,Pork,6,41.92,9.96,15.72,3.14,#N/A,0,319.64,738.84,198.2146272,47.09488757,74.33048521,319.64
"Mini boat noodles, beef",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (573g),Main,,Meat,Noodles,12,55.01,10.6,22.35,4.01,60,13.18,406.83,3174.42,254.430631,49.02680764,103.3725614,406.83
"Mini boat noodles, pork",CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (565g),Main,,Meat,Noodles,12,55.37,12.37,22.6,3.39,60,11.87,423.75,2785.45,259.719255,58.02288576,106.0078592,423.75
Mocha,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (293g),Drink,,Drinks,Cold Drinks,2,26.37,5.57,7.62,2.93,#N/A,15.24,184.59,134.78,123.0444464,25.99004803,35.55550556,184.59
Mushroom and minced pork noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (594g),Main,,Meat,Noodles,12,50.13,12.24,17.46,8.49,#N/A,2.67,380.75,1731.51,239.0955468,58.37880496,83.27564825,380.75
Mushroom risotto,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (420g),Main,,Meat,Rice,11,63.84,49.52,19.32,3.78,80,3.78,777,1289.4,373.8595116,289.9987941,113.1416943,777
"Mutton chop, spiced","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (49.06g),Main,,Meat,Mutton,8,0.05,8.34,16.63,0.98,#N/A,0.44,141.78,234.51,0.283333333,47.26,94.23666667,141.78
Noni fruit juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (955g),Drink,,Drinks,Fruits/Juice,26,34.38,0.96,5.73,2.87,#N/A,10.51,171.9,162.35,143.8987582,4.018115413,23.98312637,171.9
"Noodles, with prawn, tofu and vegetables, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (741.95g),Main,,Meat,Noodles,12,40.24,21.44,25.36,8.62,#N/A,4.84,455.14,1359.01,210.4185846,112.1116912,132.6097243,455.14
"Nutrigrain, kelloggs",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (44g),Breakfast,,Meat,Cereal,20,31.46,1.19,9.24,2.68,#N/A,-1,168.37,293.04,126.4483218,4.783010265,37.13866794,168.37
"Oat, rolled, boiled",CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Cup (260g),Breakfast,,Meat,Cereal,20,26.52,3.64,5.2,4.42,0,0,169.81,2.6,127.3575,17.48044118,24.97205882,169.81
"Oatmeal Raisin Cookies, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),Side,Subway,Meat,Sandwich,18,30,8.1,3.15,1,#N/A,17,199.8,170.1,145.3090909,39.23345455,15.25745455,199.8
"Ocean Catch Pizza, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (80g),Main,PizzaHut,Meat,Sandwich,18,16.24,7.12,10.64,1.84,0.11,1.84,171.2,452,81.77317647,35.85129412,53.57552941,171.2
"Omelette with long beans, minced pork and prawn","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-16cm (101.6g),Side,,Meat,Egg,9,0.6,17.59,11.88,2,#N/A,0.22,208.19,688.85,4.154107083,121.7845727,82.25132025,208.19
Omelette with onion,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Bowl-soup (16 and 1/2 cm) (248g),Side,,Meat,Egg,9,16.86,58.28,20.58,5.95,#N/A,7.69,674.56,1230.08,118.8161471,410.7120435,145.0318094,674.56
Omelette with prawn and green onion,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-23cm (181g),Side,,Meat,Egg,9,0.27,59.97,24.22,0,#N/A,0.27,637.66,330.69,2.038458442,452.7642695,182.8572721,637.66
"Omelette, with sharksfin, crabmeat, beansprouts","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-20cm (331g),Side,,Meat,Egg,9,4.17,51.93,35.38,0,#N/A,2.61,625.59,495.18,28.51672825,355.125587,241.9476847,625.59
Omu rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (340g),Main,,Meat,Rice,11,74.63,17.03,22.1,14.76,#N/A,8.7,540.26,748.68,354.426897,80.87752989,104.9555731,540.26
"Onion rings, large, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Packet (144g),Side,BurgerKing,Meat,Sandwich,18,49.75,26.91,5.76,4.59,#N/A,-1,478.08,692.64,288.5765591,156.0923659,33.41107498,478.08
"Onion rings, medium, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Packet (96g),Side,BurgerKing,Meat,Sandwich,18,33.12,17.94,3.84,3.11,#N/A,-1,318.72,461.76,192.2769836,104.1500328,22.29298361,318.72
"Onion rings, small, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Packet (54g),Side,BurgerKing,Meat,Sandwich,18,18.67,10.09,2.16,1.71,0.77,2.3,179.28,259.74,108.2521863,58.50372574,12.52408797,179.28
Orange,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (150g),Side,,Drinks,Fruits/Juice,26,8.88,0.11,1.11,2.66,#N/A,8.88,46.48,3.33,40.86558416,0.506217822,5.10819802,46.48
Orange and mango juice drink,BEVERAGES,Non-alcoholic beverages,Cup (263g),Drink,,Drinks,Fruits/Juice,26,29.72,0,0.53,0.26,#N/A,29.46,117.04,5.26,114.9893818,0,2.050618182,117.04
"Original Whopper Burger with cheese, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (340g),Main,BurgerKing,Meat,Sandwich,18,53.38,52.12,37.4,3.4,#N/A,13.97,850,1394,317.5157453,310.0209937,222.463261,850
"Original Whopper Burger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (327g),Main,BurgerKing,Meat,Sandwich,18,54.77,41.99,35.97,5.89,0.26,13.8,761.91,958.11,314.3962232,241.035191,206.4785859,761.91
"Original Whopper Junior Burger with Cheese, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (185g),Main,BurgerKing,Meat,Sandwich,18,29.05,28.36,20.35,1.85,#N/A,7.6,462.5,775.15,172.7832433,168.6792695,121.0374871,462.5
"Original Whopper Junior Burger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (180g),Main,BurgerKing,Meat,Sandwich,18,30.15,23.11,19.8,3.24,0.14,7.6,419.4,558,173.0756912,132.6626608,113.661648,419.4
"Oven Roasted Chicken Breast Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (358g),Main,Subway,Meat,Chicken,4,10.99,2.61,17.9,4.01,#N/A,5.01,136.04,282.82,47.46284444,11.27188571,77.30526984,136.04
Oyster mee sua,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (467g),Main,,Meat,Seafood,23,26.15,4.06,11.68,2.8,0,3.27,186.8,1606.48,116.6106469,18.10475054,52.08460253,186.8
Pad thai,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-20cm (404g),Main,,Meat,Noodles,12,66.26,45.65,39.19,7.68,0,14.54,844.36,2464.4,370.2666684,255.096188,218.9971436,844.36
Pan fried tapioca cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-20cm (147g),Side,,SideDish,Snacks,27,68.18,10.16,1.66,3.75,#N/A,26.28,370.73,45.57,315.9546425,47.08271,7.6926475,370.73
Papaya,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (225g),Side,,Drinks,Fruits/Juice,26,15.53,0.23,0.9,5.18,#N/A,15.53,76.43,15.75,71.24597239,1.055156062,4.128871549,76.43
Peach,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (138g),Side,,Drinks,Fruits/Juice,26,10.81,0.12,0.12,2.86,#N/A,10.56,57.94,2.48,56.68157466,0.62921267,0.62921267,57.94
"Peanut Butter Cookies, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),Side,Subway,SideDish,Snacks,27,26,12,4.05,1,#N/A,16,220.05,199.8,136.059453,62.79667063,21.19387634,220.05
Peanut and pork porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (550g),Main,,Meat,Pork,6,36.08,18.21,22.72,2.7,#N/A,1.65,398.75,727.65,186.818595,94.28954032,117.6418647,398.75
Peanut and sweet corn dessert,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (209g),Side,,SideDish,Dessert,24,23.62,7.32,4.18,1.88,#N/A,19.44,177.65,179.74,119.4787301,37.0272779,21.14399203,177.65
Peanut soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-rice (11and 1/2 cm) (202g),Side,,SideDish,Dessert,24,15.55,18.38,6.67,4.04,#N/A,14.34,254.52,48.48,97.48241379,115.2235862,41.814,254.52
Penang fried kway teow,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (300g),Main,,Meat,Noodles,12,71.4,30,14.4,3.9,#N/A,3,612,1476,377.3471503,158.5492228,76.10362694,612
Penang laksa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (629g),Main,,Meat,Cereal,20,64.55,4.47,20.62,3.71,#N/A,16.22,381.08,3352.98,274.4167113,19.00298527,87.66030344,381.08
Penang prawn noodle,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (685g),Main,,Meat,Noodles,12,70.56,8.91,32.88,5.48,#N/A,7.54,527.45,2144.05,331.2583178,41.82981308,154.3618692,527.45
"Persimmon, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (189g),Side,,Drinks,Fruits/Juice,26,27.5,0.73,1.28,3.67,0,16.13,121,14.67,112.758387,2.993222636,5.248390376,121
Pineapple fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (300g),Main,,Meat,Rice,11,81.6,18.3,16.8,7.5,#N/A,29.7,558,1749,390.1696658,87.50128535,80.32904884,558
"Cheese Pizza, pan, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (100g),Main,PizzaHut,Meat,Sandwich,18,32.54,5.1,12.19,1.85,0.07,2.3,223,533,145.62352,22.82360024,54.55287979,223
"Pepperoni Pizza, pan, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (95g),Main,PizzaHut,Meat,Sandwich,18,30.02,11.59,11.59,2.95,0.3,3.6,271.7,620.35,153.3164286,59.19178571,59.19178571,271.7
"Supreme Pizza, pan, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (130g),Main,PizzaHut,Meat,Sandwich,18,26.78,14.34,14.34,2.87,0.38,0.7,297.28,730.29,143.5477533,76.86612333,76.86612333,297.28
"Supreme Pizza, personal pan, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (270g),Main,PizzaHut,Meat,Sandwich,18,53.73,33.48,27,4.94,#N/A,8.59,623.7,1236.6,293.4191489,182.8340426,147.4468085,623.7
"Cheese Pizza, thin n crispy, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (75g),Main,PizzaHut,Meat,Sandwich,18,21.3,9.15,12.15,2.03,0.2,2.13,213,537,106.5,45.75,60.75,213
"Pepperoni Pizza, thin n crispy, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (75g),Main,PizzaHut,Meat,Sandwich,18,24.98,10.2,11.4,#N/A,#N/A,-1,249.75,693,133.9363461,54.68978102,61.12387291,249.75
"Super supreme Pizza, thin n crispy, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (100g),Main,PizzaHut,Meat,Sandwich,18,22.8,11.4,13.2,3.5,0,0,246,711,118.3291139,59.16455696,68.50632911,246
"Supreme Pizza, thin n crispy, Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Slice (100g),Main,PizzaHut,Meat,Sandwich,18,25,11.5,13.5,3.1,#N/A,-1,258,740,129,59.34,69.66,258
Plain aglio aglio,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (266g),Main,,Meat,Noodles,12,48.68,10.4,13.3,3.99,30,2.93,340.48,798,228.9937331,48.92224371,62.56402321,340.48
Salmon Poke bowl,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (438g),Main,,Meat,Fish,3,44.68,35.39,26.28,6.13,310,11.39,604.44,1248.3,253.9386855,201.1389901,149.3623244,604.44
Tuna Poke bowl,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (405g),Main,,Meat,Fish,3,49.82,19.97,29.97,7.29,40,10.13,498.15,1202.85,248.7753909,99.71988272,149.6547263,498.15
Pork chop with spaghetti,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (406g),Main,,Meat,Pork,6,39.79,17.86,34.1,3.65,0.04,8.93,458.78,1267.13,198.9630104,89.30583978,170.5111499,458.78
"Mashed Potato with gravy, KFC",FAST FOODS,All fast food outlets in alphabetical order,Cup (95g),Side,KFC,SideDish,Snacks,27,10.4,0.3,1.9,1.43,0,0.31,51.3,331.55,42.34285714,1.221428571,7.735714286,51.3
Steamed char siew pau,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Whole (53g),Breakfast,,Meat,Pork,6,19.77,6.47,5.78,0.74,0,0,160.59,208.82,99.15253904,32.44900999,28.98845097,160.59
Pork pau,CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",Piece (104g),Breakfast,,Meat,Pork,6,35.36,13.52,9.46,4.89,0.02,0,301.6,540.8,182.8004114,69.89427494,48.90531368,301.6
Prawn aglio olio,FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (232g),Main,,Meat,Seafood,23,64.03,9.28,17.4,#N/A,#N/A,-1,408.32,786.48,288.2232345,41.77278801,78.32397751,408.32
Prawn noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (574g),Main,,Meat,Seafood,23,49.36,2.3,18.94,4.02,#N/A,-1,293.58,2422.28,205.2564986,9.564220963,78.75928045,293.58
"Pulut hitam, with coconut milk","SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (380g),Side,,SideDish,Dessert,24,52.82,4.64,4.56,0.76,40,28.88,269.8,97.66,229.7780716,20.18497259,19.83695582,269.8
"Quarter Pounder with Cheese, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (199g),Main,McDonalds,Meat,Cheese,15,39.7,28.3,29.03,2.79,#N/A,9.77,513.42,1152.21,210.0667216,149.7452953,153.6079831,513.42
Rambutan,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (35.2g),Side,,Drinks,Fruits/Juice,26,2.35,0.02,0.12,0.08,#N/A,2.35,9.97,0.84,9.409437751,0.080080321,0.480481928,9.97
Red bean soup,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (348g),Side,,SideDish,Dessert,24,36.89,0.7,11.48,7.66,0,22.62,198.36,7.03,149.123709,2.829671897,46.40661912,198.36
Red ruby with coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (389g),Side,,SideDish,Dessert,24,22.68,21.71,2.45,6.19,#N/A,16.61,295.64,68.46,143.1493424,137.026994,15.46366354,295.64
"Roast Beef Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (344g),Main,Subway,Meat,Beef,5,13,2.79,10.32,3.99,#N/A,4.99,120.4,282.08,59.9463807,12.86541555,47.58820375,120.4
"Roasta Burger, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (230g),Main,KFC,Meat,Chicken,4,39.79,17.5,29.9,3.22,0.1,11.52,437,938.4,199.4291777,87.71074665,149.8600757,437
"Rolls, hamburger or hotdog, plain",CEREAL AND CEREAL PRODUCTS,"Buns (baked and steamed,plain and with sweet fillings)",1 portion (43g),Breakfast,,Meat,Pork,6,20.36,1.86,4.09,0.9,#N/A,2.69,119.97,205.97,92.83881414,8.481345496,18.64984036,119.97
Root beer,BEVERAGES,Non-alcoholic beverages,Can (330g),Drink,,Drinks,Cold Drinks,2,34.98,0,0,0,#N/A,-1,135.66,42.9,135.66,0,0,135.66
Root beer float,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (300g),Drink,,Drinks,Cold Drinks,2,36.54,5.25,1.71,0.12,#N/A,7.89,196.71,58.74,165.2364,23.74086207,7.732737931,196.71
Satay bee hoon,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (664g),Main,,Meat,Noodles,12,48.09,39.44,42.98,7.22,#N/A,10.93,727.04,2922.4,267.8978898,219.7108084,239.4313018,727.04
"Sausage McGriddle with Egg and Cheese, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (199g),Breakfast,McDonalds,Meat,Cheese,15,48,22.01,23.88,3,#N/A,15.72,483.57,1570.11,247.2186601,113.3600564,122.9912834,483.57
"Sausage McGriddle, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (135g),Breakfast,McDonalds,Meat,Sandwich,18,46.98,12,13.5,3,#N/A,15.16,351,1200.15,227.5107616,58.11258278,65.37665563,351
"Sausage McMuffin with egg, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,1 portion (163g),Breakfast,McDonalds,Meat,Sandwich,18,26.99,18,21.19,3.99,0.08,2.97,363.49,989.41,148.2410864,98.86400725,116.3849063,363.49
"Sausage McMuffin, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (112g),Breakfast,McDonalds,Meat,Sandwich,18,26,12,14.56,4,0.04,2.08,280,870.24,138.5083714,63.92694064,77.56468798,280
Seafood bee hoon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (654g),Main,,Meat,Seafood,23,39.37,9.16,28.71,1.31,#N/A,4.97,361.66,1595.89,184.3417167,42.88976696,134.4285163,361.66
Seafood claypot noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (555g),Main,,Meat,Seafood,23,42.18,43.29,29.97,5,#N/A,0.01,677.1,3413.25,247.4019231,253.9125,175.7855769,677.1
Seafood ee mee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (572g),Main,,Meat,Seafood,23,78.08,25.68,40.9,4.75,#N/A,5.89,721.58,2227.2,389.4716328,128.0946661,204.0137011,721.58
Seafood porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (607g),Main,,Meat,Seafood,23,50.6,8.23,21.39,0.84,#N/A,0.48,362.36,1071.46,228.5641486,37.17555223,96.62029918,362.36
Seafood risotto,CEREAL AND CEREAL PRODUCTS,Grains and flours,Plate-23cm (374g),Main,,Meat,Seafood,23,46,34.48,21.32,2.24,70,2.62,579.7,908.82,261.9469548,196.3463261,121.4067191,579.7
Shark fin soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (592g),Side,,Meat,Fish,3,18.94,14.8,29.6,0,#N/A,-1,326.84,2326.56,97.73207452,76.36930849,152.738617,326.84
"Shrooms Burger, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (170g),Main,KFC,Meat,Chicken,4,33.51,13.91,18.7,4.25,0,2.72,333.2,1178.1,168.8676951,70.0969752,94.2353297,333.2
Sliced fish bee hoon with milk,CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (792g),Main,,Meat,Noodles,12,44.35,6.42,25.34,3.17,160,7.13,332.64,1647.36,193.8324005,28.05871502,110.7488845,332.64
"Sliced fish bee hoon, no evaporated milk",CEREAL AND CEREAL PRODUCTS,Grains and flours,Bowl-soup (16 and 1/2 cm) (833g),Main,,Meat,Noodles,12,53.31,4.17,31.65,3.33,80,5.83,374.85,1807.61,224.20345,17.53757994,133.10897,374.85
Sliced fish hor fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (960.76g),Main,,Meat,Noodles,12,77.82,7.11,37.66,1.15,#N/A,2.31,525.54,3185.4,333.6122261,30.48037687,161.447397,525.54
"Soya bean curd, unsweetened","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (619.9g),Side,,SideDish,Dessert,24,0.62,1.86,11.78,9.3,#N/A,0,66.33,31,2.883913043,8.65173913,54.79434783,66.33
Soya bean drink,BEVERAGES,Non-alcoholic beverages,Packet (250g),Drink,,Drinks,Cold Drinks,2,24,5.5,3.25,0,0,24,157.75,5,115.6030534,26.49236641,15.65458015,157.75
Soya sauce chicken noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (352g),Main,,Meat,Noodles,12,39.4,19.23,25.7,2.24,#N/A,9.91,442.6,681.52,206.7880944,100.9272857,134.8846199,442.6
Soyabean milk without sugar,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),Drink,,Drinks,Cold Drinks,2,2.5,4,10.5,1.25,0,2.5,87.5,12.5,12.86764706,20.58823529,54.04411765,87.5
Spaghetti with tuna sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (300g),Main,,Meat,Noodles,12,60.49,14.73,21.42,4.51,#N/A,4.4,462.49,263.05,289.486963,70.49335368,102.5096834,462.49
Stir fried ee fu noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (418.28g),Main,,Meat,Noodles,12,55.42,31.33,25.47,3.47,#N/A,0,605.38,2217.8,298.9677384,169.0122563,137.4000053,605.38
"Subway Club Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (377g),Main,Subway,Meat,Sandwich,18,14.25,3.51,18.85,4,#N/A,5.99,150.8,848.25,58.6970773,14.45801694,77.64490576,150.8
Small Sugar cane juice,BEVERAGES,Non-alcoholic beverages,Cup (263g),Drink,,Drinks,Cold Drinks,2,26.04,0,0.79,1.58,0,25.77,126.24,2.63,122.5229072,0,3.717092807,126.24
Large Sugar cane juice,BEVERAGES,Non-alcoholic beverages,Cup (425g),Drink,,Drinks,Cold Drinks,2,28.05,0.21,0,0,0,28.05,114.75,3.27,113.897293,0.852707006,0,114.75
"Sweet Onion Chicken Teriyaki Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (401g),Main,Subway,Meat,Chicken,4,24.98,3.09,20.05,4.01,#N/A,17,204.51,669.67,106.165,13.1325,85.2125,204.51
Swiss roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (56g),Breakfast,,Meat,Bread,10,19.94,11.82,4.09,0.84,0.56,11.31,202.16,95.2,112.442689,66.65358996,23.06372106,202.16
Tauhu goreng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (403g),Side,,Meat,Noodles,12,58.03,43.93,35.87,12.09,#N/A,27.81,769.73,4094.48,324.0762671,245.3329384,200.3207945,769.73
Tea with sugar,BEVERAGES,Non-alcoholic beverages,Cup (255g),Drink,,Drinks,Hot Drinks,1,16.07,0,0,0,#N/A,15.81,63.75,0,63.75,0,0,63.75
"Tea, herbal, other than chamomile, brewed",BEVERAGES,Non-alcoholic beverages,Cup (237g),Drink,,Drinks,Hot Drinks,1,0.47,0,0,0,#N/A,0,2.37,2.37,2.37,0,0,2.37
Teh,BEVERAGES,Non-alcoholic beverages,Cup (260g),Drink,,Drinks,Hot Drinks,1,23.92,2.86,2.34,3.12,#N/A,23.4,153.4,26,126.0071429,15.06607143,12.32678571,153.4
Teh C kosong,BEVERAGES,Non-alcoholic beverages,Cup (100g),Drink,,Drinks,Hot Drinks,1,2.2,1.4,1.1,0.6,0,2.2,26,15,12.17021277,7.744680851,6.085106383,26
Teriyaki chicken don,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (369g),Main,,Meat,Chicken,4,66.68,21.44,30.66,5.17,#N/A,7.31,582.28,860.51,326.8768345,105.1025695,150.3005961,582.28
"Turkey Breast Salad, Subway",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (344g),Main,Subway,Meat,Chicken,4,13,2.2,10.32,3.99,#N/A,4.99,110.08,574.48,56.07523511,9.489655172,44.51510972,110.08
Vegetable U-Mian,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (989g),Main,,Vegetables,Vegetables,13,78.13,12.86,25.71,5.93,100,7.91,534.06,2413.16,357.5501954,58.85185604,117.6579486,534.06
Vegetable briyani,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (239.3g),Main,,Vegetables,Vegetables,13,45.72,13.5,6.87,4.98,#N/A,3.79,331.67,606.48,229.4439764,67.74920563,34.47681798,331.67
